segment_type,segment,total_jobs,jobs_with_salary,salary_min_usd,salary_max_usd,salary_mean_usd,salary_median_usd
country,Kenya,1521,0,,,,
country,Uganda,121,0,,,,
country,Morocco,292,0,,,,
country,South Africa,3155,0,,,,
country,Egypt,1768,0,,,,
country,Zimbabwe,40,0,,,,
country,Nigeria,3737,0,,,,
country,Botswana,24,0,,,,
country,Algeria,78,0,,,,
country,Mozambique,33,0,,,,
country,Mauritius,56,0,,,,
country,Tunisia,178,0,,,,
country,Senegal,49,0,,,,
country,Zambia,44,0,,,,
country,Ghana,1329,0,,,,
country,Malawi,14,0,,,,
country,Cameroon,33,0,,,,
country,Tanzania,54,0,,,,
country,Namibia,33,0,,,,
country,Rwanda,97,0,,,,
country,Ethiopia,84,0,,,,
country,Unknown,1,0,,,,
country,Global Remote,251,0,,,,
seniority,Mid-Level,8195,0,,,,
seniority,Lead,1824,0,,,,
seniority,Senior,1573,0,,,,
seniority,Intern,530,0,,,,
seniority,Entry Level,378,0,,,,
seniority,Executive,492,0,,,,
