job_id,source,source_job_id,job_title,company,job_description,location,country,work_mode,remote_scope,job_field,industry,employment_type,experience_required,education_required,salary,currency,date_posted,application_deadline,tech_category,vacancy_url,scraped_at
ea315c8345326632,jobicy,153134,Staff Software Engineer (SRE),Phantom,"Phantom is on a mission to connect the world to the freedom of open markets. Tens of millions of people all over the world use Phantom to access global markets that never close, including perpetuals, prediction markets, tokenized assets, stablecoins and memes. Phantom users are able to discover the markets that matter and the cultural&hellip;",Anywhere,Any (Global Remote),remote,Global,,DevOps & Infrastructure,Full-Time,,,,USD,2026-09-12T16:52:13+00:00,,Software Development,https://jobicy.com/jobs/153134-staff-software-engineer-sre,2026-09-12T21:45:53+00:00
47c6d4e05801c47c,jobicy,153130,Staff DevOps Engineer (Platform),Phantom,"Phantom is on a mission to connect the world to the freedom of open markets. Tens of millions of people all over the world use Phantom to access global markets that never close, including perpetuals, prediction markets, tokenized assets, stablecoins and memes. Phantom users are able to discover the markets that matter and the cultural&hellip;","Europe, USA",Any (Global Remote),remote,Global,,DevOps & Infrastructure,Full-Time,,,,,2026-09-12T16:52:13+00:00,,DevOps & Cloud,https://jobicy.com/jobs/153130-staff-devops-engineer-platform,2026-09-12T21:45:53+00:00
3acac824a5198986,jobicy,150210,"Customer Engineer - Jylland, Denmark",NCR Voyix,"About NCR VOYIXNCR Voyix Corporation (NYSE: VYX) is a global platform-powered leader in unified commerce for shopping and dining. Combining a flexible, intelligent platform with end-to-end payments capabilities and services developed through its deep industry experience, NCR Voyix empowers retailers and restaurants to accelerate new possibilities for their operations, experiences and business outcomes. NCR Voyix&hellip;",Denmark,Any (Global Remote),remote,Global,,Technical Support,Full-Time,,,,,2026-09-12T13:50:08+00:00,,Other Tech,https://jobicy.com/jobs/150210-customer-engineer-jylland-denmark,2026-09-12T21:45:53+00:00
0bd2470a543f7530,jobicy,149057,Senior Site Reliability Engineer (Hardware Automation),Nebius,"About Nebius: Nebius is leading a new era in cloud infrastructure for the global AI economy. We are building a full-stack AI cloud platform that supports developers and enterprises from data and model training through to production deployment, without the cost and complexity of building large in-house AI/ML infrastructure. Built by engineers, for engineers. From&hellip;","Europe, Netherlands",Any (Global Remote),remote,Global,,DevOps & Infrastructure,Full-Time,,,,,2026-09-12T13:45:05+00:00,,Software Development,https://jobicy.com/jobs/149057-senior-site-reliability-engineer-hardware-automation,2026-09-12T21:45:53+00:00
a8e7f3f98bc5d5bb,jobicy,150473,Senior Customer Support Specialist - UK,Juniper Square,"About Juniper SquarePrivate markets are one of the largest, most complex, and most underserved corners of global finance. Our mission at Juniper Square is to unlock their full potential. We’re the Operations Partner trusted by 2,300+ GPs, unifying technology, data, and fund administration services into a single platform that helps GPs move faster, make better&hellip;",UK,Any (Global Remote),remote,Global,,Customer Support & Success,Full-Time,,,,USD,2026-09-12T13:30:19+00:00,,Other Tech,https://jobicy.com/jobs/150473-senior-customer-support-specialist-uk,2026-09-12T21:45:53+00:00
b552d2af37437c1a,jobicy,149110,Staff Product Designer,Fieldguide,"About UsFieldguide is establishing a new state of trust for global commerce and capital markets by automating and streamlining the work of assurance and audit practitioners, specifically in cybersecurity, privacy, and financial audits. Put simply, we build software for the people who enable trust between businesses.We’re based in San Francisco, CA, but built as a&hellip;",USA,Any (Global Remote),remote,Global,,"Web, UI & UX Design",Full-Time,,,,USD,2026-09-12T13:25:12+00:00,,Cybersecurity,https://jobicy.com/jobs/149110-staff-product-designer,2026-09-12T21:45:53+00:00
7d2df47f5f194cd0,jobicy,153081,"Engineering Manager, SRE",Remote,"About Remote Remote is solving modern organizations’ biggest challenge – navigating global employment compliantly with ease. We make it possible for businesses of all sizes to recruit, pay, and manage international teams. With our core values at heart and future focused work culture, our team works tirelessly on ambitious problems, asynchronously, around the world. You&hellip;","APAC, EMEA",Any (Global Remote),remote,Global,,DevOps & Infrastructure,Full-Time,,,,USD,2026-09-11T17:39:44+00:00,,DevOps & Cloud,https://jobicy.com/jobs/153081-engineering-manager-sre,2026-09-12T21:45:53+00:00
db892b5c754b388d,jobicy,153082,HR AI & Automation Operations Lead,Remote,"About Remote Remote is solving modern organizations’ biggest challenge – navigating global employment compliantly with ease. We make it possible for businesses of all sizes to recruit, pay, and manage international teams. With our core values at heart and future focused work culture, our team works tirelessly on ambitious problems, asynchronously, around the world. You&hellip;","LATAM, Canada, USA",Any (Global Remote),remote,Global,,HR & Recruiting,Full-Time,,,,USD,2026-09-11T17:39:41+00:00,,Data & AI,https://jobicy.com/jobs/153082-hr-ai-automation-operations-lead,2026-09-12T21:45:53+00:00
