segment_type,segment,total_jobs,jobs_with_salary,salary_min_usd,salary_max_usd,salary_mean_usd,salary_median_usd
country,Kenya,1149,0,,,,
country,Uganda,105,0,,,,
country,Morocco,291,0,,,,
country,South Africa,2828,0,,,,
country,Egypt,1417,0,,,,
country,Zimbabwe,40,0,,,,
country,Nigeria,2792,0,,,,
country,Botswana,24,0,,,,
country,Algeria,78,0,,,,
country,Mozambique,33,0,,,,
country,Mauritius,56,0,,,,
country,Tunisia,178,0,,,,
country,Senegal,49,0,,,,
country,Zambia,44,0,,,,
country,Ghana,858,0,,,,
country,Malawi,14,0,,,,
country,Cameroon,33,0,,,,
country,Tanzania,54,0,,,,
country,Namibia,33,0,,,,
country,Rwanda,54,0,,,,
country,Ethiopia,84,0,,,,
country,Unknown,1,0,,,,
country,Global Remote,164,0,,,,
seniority,Mid-Level,6770,0,,,,
seniority,Lead,1383,0,,,,
seniority,Senior,1163,0,,,,
seniority,Intern,358,0,,,,
seniority,Entry Level,339,0,,,,
seniority,Executive,366,0,,,,
