job_id,source,source_job_id,job_title,company,job_description,location,country,work_mode,remote_eligible,remote_scope,job_field,industry,employment_type,experience_required,education_required,salary,currency,date_posted,application_deadline,tech_category,vacancy_url,scraped_at,_is_tech_candidate
cb629f41d9cb6aa5,MyJobMag,cb629f41d9cb6aa5,Senior Backend Engineer at HFCB Kenya,HFCB Kenya,,Nairobi,Kenya,,0,,ICT / Computer,,Full Time,10 years,"BA/BSc/HND , MBA/MSc/MA , Professional Certificate",,,,,Software & IT,https://www.myjobmag.co.ke/job/senior-backend-engineer-hf-group-1,2026-08-24T19:24:29.191320+00:00,1
7e8a339fb2713d0c,MyJobMag,7e8a339fb2713d0c,Senior Cybersecurity at Solvo Global,Solvo Global,,Nairobi,Kenya,,0,,ICT / Computer,,Full Time,5 years,BA/BSc/HND,,,,,Cybersecurity,https://www.myjobmag.co.ke/job/senior-cybersecurity-solvo-global,2026-08-24T19:24:40.605420+00:00,1
1c8fd7a40872aeef,MyJobMag,1c8fd7a40872aeef,Senior Data Engineer at CIC Insurance,CIC Insurance,,Nairobi,Kenya,,0,,"Data, Business Analysis and AI , ICT / Computer",,Full Time,4 years,BA/BSc/HND,,,,,Data & AI,https://www.myjobmag.co.ke/job/senior-data-engineer-cic-insurance,2026-08-24T19:24:43.610987+00:00,1
56ed870c67c72f1a,MyJobMag,56ed870c67c72f1a,Senior Data Engineer at CloudFactory,CloudFactory,,Nairobi,Kenya,,0,,"Data, Business Analysis and AI , ICT / Computer",,Full Time,5 years,BA/BSc/HND,,,,,Data & AI,https://www.myjobmag.co.ke/job/senior-data-engineer-cloudfactory,2026-08-24T19:24:46.544408+00:00,1
8a57805d86ef2a31,MyJobMag,8a57805d86ef2a31,Senior DevOps Engineer at Absa Bank Limited,Absa Bank Limited,,Nairobi,Kenya,,0,,ICT / Computer,,Full Time,8 years,"BA/BSc/HND , Professional Certificate",,,,,Cloud & DevOps,https://www.myjobmag.co.ke/job/senior-devops-engineer-absa-bank-limited,2026-08-24T19:24:51.750305+00:00,1
5ec0ea8ed97bab6c,MyJobMag,5ec0ea8ed97bab6c,Senior Full Stack Developer Technical Lead at East African Data Handlers,East African Data Handlers,,Nairobi,Kenya,,0,,ICT / Computer,,"Full Time , Remote , Hybrid",7 years,BA/BSc/HND,,,,,Software & IT,https://www.myjobmag.co.ke/job/senior-full-stack-developer-technical-lead-east-african-data-handlers,2026-08-24T19:25:04.725286+00:00,1
d59abca2aeb5e0aa,MyJobMag,d59abca2aeb5e0aa,Senior Lecturer - Cyber Security at Dedan Kimathi University,Dedan Kimathi University,,Nairobi,Kenya,,0,,"Education / Teaching / Training , ICT / Computer",,Full Time,3 years,PhD/Fellowship,,,,,Cybersecurity,https://www.myjobmag.co.ke/job/senior-lecturer-cyber-security-dedan-kimathi-university,2026-08-24T19:25:13.782339+00:00,1
b7e1c7ce4494ccb9,MyJobMag,b7e1c7ce4494ccb9,Senior Lecturer - Data Science at Dedan Kimathi University,Dedan Kimathi University,,Nairobi,Kenya,,0,,"Data, Business Analysis and AI , Education / Teaching / Training , ICT / Computer",,Full Time,3 years,PhD/Fellowship,,,,,Data & AI,https://www.myjobmag.co.ke/job/senior-lecturer-data-science-dedan-kimathi-university,2026-08-24T19:25:18.618701+00:00,1
bbc1f6c4a2cdbe7d,MyJobMag,bbc1f6c4a2cdbe7d,Senior Lecturer - Data Science/Statistics at Zetech University,Zetech University,,Nairobi,Kenya,,0,,"Data, Business Analysis and AI , Education / Teaching / Training , ICT / Computer",,Full Time,3 years,"BA/BSc/HND , MBA/MSc/MA , PhD/Fellowship",,,,,Data & AI,https://www.myjobmag.co.ke/job/senior-lecturer-data-science-statistics-zetech-university,2026-08-24T19:25:21.780890+00:00,1
a7a0cb618acebf50,MyJobMag,a7a0cb618acebf50,Senior Platform/Solution Architect at Tezza Business Solutions Ltd,Tezza Business Solutions Ltd,,Nairobi,Kenya,,0,,ICT / Computer,,"Contract , Full Time , Onsite",15 years,BA/BSc/HND,,,,,Software & IT,https://www.myjobmag.co.ke/job/senior-platform-solution-architect-tezza-business-solutions-ltd-1,2026-08-24T19:25:57.160261+00:00,1
a5de391af90e0ffc,MyJobMag,a5de391af90e0ffc,"Senior Software Engineer, Google Play at Google",Google,,Nairobi,Kenya,,0,,ICT / Computer,,Full Time,5 years,"BA/BSc/HND , MBA/MSc/MA , PhD/Fellowship",,,,,Software & IT,https://www.myjobmag.co.ke/job/senior-software-engineer-google-play-google-1,2026-08-24T19:26:11.840988+00:00,1
b2a73fbc77ab88b3,MyJobMag,b2a73fbc77ab88b3,Senior Software Engineer at Solvo Global,Solvo Global,,Nairobi,Kenya,,0,,ICT / Computer,,"Full Time , Onsite",12 years,,,,,,Software & IT,https://www.myjobmag.co.ke/job/senior-software-engineer-solvo-global,2026-08-24T19:26:14.313611+00:00,1
3f42f095798c7ae0,MyJobMag,3f42f095798c7ae0,Senior Software Engineer at Solvo Global,Solvo Global,,Nairobi,Kenya,,0,,ICT / Computer,,"Full Time , Onsite",8 years,BA/BSc/HND,,,,,Software & IT,https://www.myjobmag.co.ke/job/senior-software-engineer-solvo-global-1,2026-08-24T19:26:17.062973+00:00,1
86ef610b6e6d9bbb,MyJobMag,86ef610b6e6d9bbb,Senior Software QA Engineer at Solvo Global,Solvo Global,,Nairobi,Kenya,,0,,ICT / Computer,,"Full Time , Onsite",6 years,BA/BSc/HND,,,,,QA & Testing,https://www.myjobmag.co.ke/job/senior-software-qa-engineer-solvo-global,2026-08-24T19:26:20.051312+00:00,1
