segment_type,segment,total_jobs,jobs_with_salary,salary_min_usd,salary_max_usd,salary_mean_usd,salary_median_usd
country,Kenya,1643,0,,,,
country,Uganda,31,0,,,,
country,Unknown,24,0,,,,
country,Nigeria,2144,0,,,,
country,South Africa,444,0,,,,
country,Ghana,1010,0,,,,
country,Global Remote,208,0,,,,
country,Egypt,420,0,,,,
country,Rwanda,58,0,,,,
country,Morocco,1,0,,,,
country,Senegal,3,0,,,,
seniority,Mid-Level,2913,0,,,,
seniority,Entry Level,129,0,,,,
seniority,Lead,1144,0,,,,
seniority,Senior,712,0,,,,
seniority,Executive,384,0,,,,
seniority,Intern,704,0,,,,
